"OWNER";"TABLE_NAME";"COLUMN_ID";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH";"NULLABLE";"DATA_SCALE";"AVG_COL_LEN";"NUM_DISTINCT";"NUM_NULLS";"DENSITY";"DEFAULT_ON_NULL";"NUM_BUCKETS";"COMMENTS";"CONSTRAINTS"
"SISAGUA";"PEDIDO_FLUXO";3;"DSC_FLUXO";"VARCHAR2";2000;"Y";;45;2956;1;0,0003382949932341;"NO";1;"DESCRIÇÃO DA AÇÃO DO FLUXO";" (, )"
"SISAGUA";"PEDIDO_FLUXO";4;"DAT_PROCESSAMENTO";"DATE";7;"Y";;8;394;0;0,0000000151880940652128;"NO";254;"Data do processamento do fluxo.";" (, )"
"SISAGUA";"PEDIDO_GRAFICA";1;"SEQ_PEDIDO_GRAFICA";"NUMBER";22;"N";0;4;3159;0;0,000316555872111428;"NO";1;"SEQUENCIAL DO PEDIDO";"PK_PEDIDO_GRAFICA (PRIMARY KEY, ENABLED); SYS_C001330918 (CHECK, ENABLED)"
"SISAGUA";"PEDIDO_GRAFICA";2;"COD_PEDIDO";"NUMBER";22;"Y";0;4;3159;0;0,000316555872111428;"NO";1;"CÓDIGO DO PEDIDO";" (, )"
"SISAGUA";"PEDIDO_GRAFICA";3;"DAT_PEDIDO";"DATE";7;"Y";;8;3081;0;0,000325;"NO";254;"DATA DO PEDIDO";" (, )"
"SISAGUA";"PEDIDO_GRAFICA";4;"COD_CNPJ";"NUMBER";22;"Y";0;9;183;1;0,00546448087431694;"NO";1;"CNPJ DO SOLICITANTE";" (, )"
"SISAGUA";"PEDIDO_GRAFICA";5;"DSC_RAZAO_SOCIAL";"VARCHAR2";200;"Y";;40;182;1;0,00549450549450549;"NO";1;"RAQZÃO SOCIAL DO SOLICITANTE";" (, )"
"SISAGUA";"PEDIDO_GRAFICA";6;"STA_PEDIDO";"NUMBER";22;"Y";0;3;4;1;0,25;"NO";1;"STATUS DO PEDIDO";" (, )"
"SISAGUA";"PEDIDO_GRAFICA";7;"QTD_SELOS";"NUMBER";22;"Y";0;4;73;0;0,0136986301369863;"NO";1;"QUANTIDADE DE SELOS DO PEDIDO";" (, )"
"SISAGUA";"PEDIDO_GRAFICA";8;"VLR_UNITARIO";"NUMBER";22;"Y";2;3;9;0;0,111111111111111;"NO";1;"VALOR DE CADA SELO";" (, )"
"SISAGUA";"PEDIDO_GRAFICA";9;"VLR_TOTAL";"NUMBER";22;"Y";2;3;46;0;0,0217391304347826;"NO";1;"VALOR TOTAL DO PEDIDO";" (, )"
"SISAGUA";"PEDIDO_GRAFICA";10;"DAT_VALIDADE_SELO";"DATE";7;"Y";;1;0;3159;0;"NO";0;"DATA DE VALIDADE DOS SELOS DO PEDIDO";" (, )"
"SISAGUA";"PEDIDO_GRAFICA";11;"DSC_OBSERVACAO";"VARCHAR2";500;"Y";;2;13;3146;0,0769230769230769;"NO";1;"OBSERVAÇÃO";" (, )"
"SISAGUA";"PEDIDO_GRAFICA";12;"SEQ_GRAFICA";"NUMBER";22;"N";0;3;1;0;0,000158277936055714;"NO";1;"chave estrangeira - gráfica onde o pedido foi originado";"FK_GRA_PED_GRA (FOREIGN KEY, ENABLED); SYS_C001522235 (CHECK, ENABLED)"
"SISAGUA";"SELO";1;"SEQ_SELO";"NUMBER";22;"N";0;7;140121017;0;0,00000000713668813865375;"NO";1;"campo chave";"PK_SELO (PRIMARY KEY, ENABLED); SYS_C001240603 (CHECK, ENABLED)"
"SISAGUA";"SELO";2;"SEQ_PEDIDO";"NUMBER";22;"N";0;4;1888;0;0,00162337662337662;"NO";254;"Sequenciado do pedido relacionado";"FK_PED_R_SEL (FOREIGN KEY, ENABLED); SYS_C001348709 (CHECK, ENABLED)"
"SISAGUA";"SELO";3;"NUM_SELO";"VARCHAR2";20;"N";;12;112164864;0;0,00000000891544788927841;"NO";1;"numero de cada selo gerado para o pedido";"SYS_C001348710 (CHECK, ENABLED)"
"SISAGUA";"SELO";4;"NUM_ALEATORIO";"VARCHAR2";8;"N";;9;107462656;0;0,00000000930555820246989;"NO";1;"Número Aleatório do SELO";"SYS_C001348711 (CHECK, ENABLED)"
