COD_CNPJ_DUTOVIARIO
10483444000260
14998371002405
17234244000131
17392133000153
17664412000129
19492657000141
2012862003185
21178614000138
2427026000812
2427026001207
2427026001703
2575829002604
2609146000164
33000167005502
33000167013513
33000167014323
34028316710151
34274233002903
4020028001709
4626426001420
4958554000661
49929194000101
63312771000134
7575651000825
7575651002950
9296295001808
9509535000167
9608037000767
