OWNER;TABLE_NAME;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COMMENTS;CONSTRAINTS
COPAF;DECRETO_PARCELAMENTO;15;N;16;NUM_PERCENTUAL_1A_PARCELA;NUMBER;22;Y;2;0;0;15;NO;Percentual utilizado para a primeira parcela do parcelamento;SYS_C00133226 (C: ENABLED)
COPAF;DECRETO_PARCELAMENTO;15;N;17;COD_TIPO_VENCIMENTO;NUMBER;22;Y;0;3;3;0;NO;; (: )
COPAF;DECRETO_PARCELAMENTO;15;N;18;TIP_CRITICA_CNAE;VARCHAR2;1;Y;;2;1;0;NO;; (: )
COPAF;DECRETO_PARCELAMENTO;15;N;19;TIP_CRITICA_RECEITA;VARCHAR2;1;Y;;2;2;0;NO;; (: )
COPAF;DECRETO_PARCELAMENTO;15;N;20;DSC_PER_REF_INICIO_MESES_CONSE;VARCHAR2;7;Y;;0;0;15;NO;; (: )
COPAF;DECRETO_PARCELAMENTO;15;N;21;COD_TIPO_ATUALIZACAO_PARCELA;NUMBER;22;Y;0;3;2;0;NO;; (: )
COPAF;DECRETO_PARCELAMENTO;15;N;22;TIP_LEGISLACAO;VARCHAR2;255;Y;;9;3;0;NO;; (: )
COPAF;DECRETO_PARCELAMENTO;15;N;23;STA_VERIFICA_3_MESES_CONSEC;NUMBER;22;Y;0;2;2;6;NO;; (: )
COPAF;DECRETO_PARCELAMENTO;15;N;24;NUM_PERIODOS_CONSEC_ATRASO;NUMBER;22;Y;0;2;2;11;NO;; (: )
COPAF;DESCONTO_REFIS_DAE_MIGRADO;10;N;1;SEQ_DESCONTO_REFIS_DAE_MIGRADO;NUMBER;22;N;0;3;10;0;NO;;SYS_C00133909 (PRIMARY KEY: ENABLED)- SYS_C0082679 (C: ENABLED)
COPAF;DESCONTO_REFIS_DAE_MIGRADO;10;N;2;VLR_DESCONTO_JUROS;NUMBER;22;Y;2;5;10;0;NO;;SYS_C00133906 (C: ENABLED)
COPAF;DESCONTO_REFIS_DAE_MIGRADO;10;N;3;VLR_DESCONTO_MULTA;NUMBER;22;Y;2;5;9;0;NO;;SYS_C00133907 (C: ENABLED)
COPAF;DESCONTO_REFIS_DAE_MIGRADO;10;N;4;VLR_DESCONTO_PRINCIPAL;NUMBER;22;Y;2;3;2;0;NO;;SYS_C00133908 (C: ENABLED)
COPAF;DESCONTO_REFIS_DAE_MIGRADO;10;N;5;SEQ_DOCUMENTO_CREDITO;NUMBER;22;Y;0;4;1;0;NO;;FK_DOC_CRED_R_DESC_DAE_REF_LEG (FOREIGN KEY: ENABLED)
COPAF;FAIXA_DESCONTO;31;N;1;SEQ_FAIXA_DESCONTO;NUMBER;22;N;0;4;31;0;NO;;SYS_C00138516 (PRIMARY KEY: ENABLED)- SYS_C0084284 (C: ENABLED)
COPAF;FAIXA_DESCONTO;31;N;2;NUM_QUANTIDADE_MAX_PARCELAS;NUMBER;22;N;0;3;9;0;NO;;SYS_C0084285 (C: ENABLED)
COPAF;FAIXA_DESCONTO;31;N;3;NUM_QUANTIDADE_MIN_PARCELAS;NUMBER;22;N;0;3;9;0;NO;;SYS_C0084286 (C: ENABLED)
COPAF;FAIXA_DESCONTO;31;N;4;SEQ_DECRETO_PARCELAMENTO;NUMBER;22;N;0;4;9;0;NO;;FK_DECRETO_R_FAIXA (FOREIGN KEY: ENABLED)- SYS_C0084287 (C: ENABLED)
COPAF;FAIXA_DESCONTO;31;N;5;VLR_DESCONTO_JUROS;NUMBER;22;Y;2;3;10;0;NO;;SYS_C00138455 (C: ENABLED)
COPAF;FAIXA_DESCONTO;31;N;6;VLR_DESCONTO_MULTA;NUMBER;22;Y;2;3;9;0;NO;;SYS_C00138517 (C: ENABLED)
COPAF;FAIXA_DESCONTO;31;N;7;DAT_FIM_ADESAO;DATE;7;Y;;8;8;0;NO;; (: )
COPAF;FAIXA_DESCONTO;31;N;8;DAT_INICIO_ADESAO;DATE;7;Y;;8;7;0;NO;; (: )
