COD_CNPJ_TRANSPORTADORA_A
00024016000134
00055893000172
00074635000486
00074635000729
00130057000105
00139120000255
00165030000158
00181221000618
00193687000129
00193687000200
00193687000390
00193687000633
00193687000714
00193687000803
00193687000986
00193687001109
00193687001362
00214121000993
00232060000130
00233065000187
00233065000500
00233065001582
00233065002120
00233065002392
00233065003879
00233065003950
00233065004174
00233065004255
00233065004506
00233065004689
00233065008080
00242640001007
00280317000129
00286150000375
00293663000141
00340332000115
00418557000147
00428307000430
00428307001160
00428307001240
00680933001491
00680933001904
00702501000110
00702501000462
00738833000154
00738833000235
00766315000144
00766315000497
00774900000196
00776574000741
00776574001390
00776574002957
00776574145472
00777858000833
00800202000118
00821974000136
00907302000148
00925984000111
00925984001436
00945958000155
00945958000236
00945958001631
00945958001984
00947027000196
00950001000105
00950001001250
00950001001845
00963519000175
01014373000265
01014373000508
01014373000850
01014373001318
01034009000429
01048874000181
01056793000204
01074125000129
01097088700400
01107327000804
01107327000987
01107327001797
01107327003145
01110173000125
01125797002402
01137526000695
01137526000776
01200743000259
01220117000143
01253053000349
01299441000107
01340509000146
01341776000308
01341776000480
01341776000723
01341776001100
01341776001452
01343157000263
01375753000144
01375753000497
01413969001129
01441630000164
01451873000183
01489122000156
01491071000105
01502510000391
01502510001282
01502510001797
01551272000142
01554759001231
01599101000193
01599101000436
01599101000789
01599101001084
01599101002056
01599101002218
01599101002480
01599101002994
01599101003370
01599101003451
01599101003532
01599101003885
01599101004695
01599101004776
01599101004857
01599101005071
01599101005233
01599101005314
01599101005667
01599101006043
01599101006124
01610798000156
01610798000237
01610798000407
01610798000580
01610798000822
01610798001470
01610798001802
01610798001985
01610798003171
01610798003252
01610798003414
01610798003929
01610798004577
01610798004658
01610798004909
01610798005034
01610798005700
01650438000935
01654874000125
01717789000169
01722772000108
01744885002069
01834475000146
01834475000227
01834475000499
01834475000570
01868931000179
01895193000159
01897671000160
01921146000132
01923736000102
01937440000132
02012862000160
02012862000402
02012862000593
02012862000755
02012862000836
02012862001050
02012862001131
02012862001565
02012862001646
02012862001727
02012862001808
02012862001999
02012862002103
02012862002294
02012862002456
02012862002537
02012862002618
02012862002707
02012862002960
02012862003002
02012862003185
02012862003266
02012862003347
02012862003509
02012862003690
02012862003770
02012862003851
02012862003932
02012862004661
02012862004823
02012862005129
02012862005390
02012862005471
02012862005552
02012862005633
02012862005714
02012862006958
02012862007334
02012862007415
02012862007920
02012862008306
02012862008497
02012862008900
02012862009205
