COD_CNPJ_BASE
00048785
00529049
00776574
02012862
03454696
04419796
04739301
05373212
05435483
05937837
06057223
06087969
06147451
07105743
07175725
07196033
07206816
07321888
07329691
07396732
07567548
07569585
07572993
07575651
07654007
10392355
10656452
10882045
11552312
12115480
14940956
15079464
15350602
16233389
22829604
23485592
24230747
39346861
41426966
42520751
47960950
73387193
75877566
89850341
