"OWNER";"TABLE_NAME";"COLUMN_ID";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH";"NULLABLE";"DATA_SCALE";"AVG_COL_LEN";"NUM_DISTINCT";"NUM_NULLS";"DENSITY";"DEFAULT_ON_NULL";"NUM_BUCKETS";"COMMENTS";"CONSTRAINTS"
"SUANOTA";"APP_BLACK_LIST_USUARIO";7;"TM_BLOQUEIO";"DATE";7;"N";;8;3071;0;0,000212;"NO";254;"Data/Hora do bloqueio do usuário pelo usuário SET";"SYS_C00247375 (CHECK, ENABLED)"
"SUANOTA";"APP_BLACK_LIST_USUARIO";8;"CD_USUARIO_DESBLOQUEIO";"VARCHAR2";150;"Y";;9;14;2441;0,0714285714285714;"NO";1;"Usuário SET que desbloqueou o usuário";" (, )"
"SUANOTA";"APP_BLACK_LIST_USUARIO";9;"TM_DESBLOQUEIO";"DATE";7;"Y";;6;687;2441;0,000431;"NO";254;"Data/Hora do desbloqueio do usuário pelo usuário SET";" (, )"
"SUANOTA";"APP_BLACK_LIST_USUARIO";10;"TP_BLOQUEIO";"VARCHAR2";2;"Y";;3;2;0;0,0000781616382679381;"NO";2;"Tipo do bloqueio do usuário
SO - Bloqueio para participar do sorteio
AS - Bloqueio para participar do sorteio e acessar o APP";" (, )"
"SUANOTA";"APP_BLACK_LIST_USUARIO";11;"CD_USUARIO_INCLUSAO";"VARCHAR2";250;"Y";;0;0;6397;0;"NO";0;"Código do usuário que incluiu o registro na tabela";" (, )"
"SUANOTA";"APP_BLACK_LIST_USUARIO";12;"TM_INCLUSAO";"DATE";7;"Y";;1;0;6397;0;"NO";0;"Data/Hora de inclusão do registro na tabela";" (, )"
"SUANOTA";"APP_BLACK_LIST_USUARIO";13;"CD_USUARIO_ALTERACAO";"VARCHAR2";250;"Y";;3;14;5659;0,0714285714285714;"NO";1;"Código do usuário que alterou o registro na tabela";" (, )"
"SUANOTA";"APP_BLACK_LIST_USUARIO";14;"TM_ALTERACAO";"DATE";7;"Y";;2;686;5659;0,00145772594752187;"NO";1;"Data/Hora de alteração do registro na tabela";" (, )"
"SUANOTA";"APP_BLACK_LIST_USUARIO";15;"TX_MOTIVO_DESBLOQUEIO";"VARCHAR2";500;"Y";;18;647;2439;0,00154559505409583;"NO";1;"Texto do motivo do desbloqueio do usuário";" (, )"
"SUANOTA";"APP_BLACK_LIST_USUARIO";16;"CNPJ";"VARCHAR2";14;"Y";;8;1330;3320;0,00075187969924812;"NO";1;"CNPJ que está na nota que colocou o usuário em bloqueio por regra de segurança";" (, )"
"SUANOTA";"APP_BLACK_LIST_USUARIO";17;"TM_NOTIFICACAO";"DATE";7;"Y";;4;749;4372;0,00133511348464619;"NO";1;"Data/Hora da notificação do bloqueio ao usuario";" (, )"
"SUANOTA";"APP_BLACK_LIST_USUARIO_HIST";1;"CD_USUARIO_BLOQUEADO";"VARCHAR2";36;"N";;12;5374;0;0,000186081131373279;"NO";1;"Código do usuário bloqueado";"SYS_C00247376 (CHECK, ENABLED)"
"SUANOTA";"APP_BLACK_LIST_USUARIO_HIST";2;"NM_USUARIO_BLOQUEADO";"VARCHAR2";200;"N";;28;5368;0;0,00018628912071535;"NO";1;"Nome do usuário bloqueado";"SYS_C00247377 (CHECK, ENABLED)"
"SUANOTA";"APP_BLACK_LIST_USUARIO_HIST";3;"TX_MOTIVO_BLOQUEIO";"VARCHAR2";500;"N";;47;6;0;0,166666666666667;"NO";1;"Texto do motivo do bloqueio do usuário";"SYS_C00247378 (CHECK, ENABLED)"
"SUANOTA";"APP_BLACK_LIST_USUARIO_HIST";4;"ST_BLOQUEIO";"VARCHAR2";2;"N";;3;2;0;0,5;"NO";1;"Status do bloqueio do usuário AT - Bloqueio Ativo IN - Bloqueio Inativo";"SYS_C00247379 (CHECK, ENABLED)"
"SUANOTA";"APP_BLACK_LIST_USUARIO_HIST";5;"ID_SISTEMA";"NUMBER";22;"N";0;3;1;0;1;"NO";1;"FK relacionada a APP_SISTEMA.ID_SISTEMA";"APPBLLU_APPSISTHIST_FK (FOREIGN KEY, ENABLED); SYS_C00247380 (CHECK, ENABLED)"
"SUANOTA";"APP_BLACK_LIST_USUARIO_HIST";6;"CD_USUARIO_BLOQUEIO";"VARCHAR2";150;"N";;13;1;0;1;"NO";1;"Usuário SET que bloqueou o usuário";"SYS_C00247381 (CHECK, ENABLED)"
"SUANOTA";"APP_BLACK_LIST_USUARIO_HIST";7;"TM_BLOQUEIO";"DATE";7;"N";;8;2128;0;0,000469924812030075;"NO";1;"Data/Hora do bloqueio do usuário pelo usuário SET";"SYS_C00247382 (CHECK, ENABLED)"
"SUANOTA";"APP_BLACK_LIST_USUARIO_HIST";8;"CD_USUARIO_DESBLOQUEIO";"VARCHAR2";150;"Y";;2;9;5842;0,111111111111111;"NO";1;"Usuário SET que desbloqueou o usuário";" (, )"
"SUANOTA";"APP_BLACK_LIST_USUARIO_HIST";9;"TM_DESBLOQUEIO";"DATE";7;"Y";;2;42;5842;0,0238095238095238;"NO";1;"Data/Hora do desbloqueio do usuário pelo usuário SET";" (, )"
