COD_CNPJ_N
10263825000152
10522011000195
10812826000109
111111111111
11111111111111
111111111113
111111111114
111111111115
11821253000142
11822269000170
12208466000166
12244903000105
12360517000170
1256678000100
12915968000127
13006170000125
13265581000135
13291899000190
13517121000157
13543312000193
13596395000189
14007445000108
14411165000160
14411173000107
14761583000188
14761620000158
1523484000116
16368546000130
1790944000172
1807238000196
1869564000128
1869566000117
18736201000117
19419293000174
19419301000182
19538158000148
2003575000193
2014521000123
2030715001437
22064583000157
22065764000106
22113221000109
22156351000129
222222222222
23872706000149
24062902000110
2486321000173
25150364000189
25394353000144
26113661000117
26243167000177
27368899000156
27416842000185
28686205000191
30974559000183
31045919000125
333333331
33400188000114
33866288000130
34223378000176
34324949000169
35025022000190
3503868000100
35441479000186
35853012000143
36084704000137
36734285000131
3773788000167
37798544000150
40316645000152
40964205000101
4108594000100
41572678000126
41604410000129
41655846000147
42122398000189
43106597000166
44062163000174
44664361000108
47963008000117
49921771000100
49958941000121
49995552000176
50046387000195
50066112000113
50103390000101
50109345000156
50134442000107
50182787000128
50187229000155
50188190000190
5220055000120
5371711000196
54237436000128
5483909000161
5541424000187
5541424000268
5541428000165
5565013000121
5601539000110
5748410000139
6021289000101
60461367000134
6056522000191
6571004000106
6622070000168
671077000193
6740864000126
6750319000110
6750525000120
6883979000170
6928790000156
7029051000195
7040108000157
7074543000100
7121536000104
7135668000195
7191406000148
7196590000119
7261661000110
7271141000198
7280803000196
73642415000132
73695868000127
73759185000196
74031865000151
74075938000107
7421806000100
7543129000195
7651302000179
7663230000180
78007000126
7821622000120
7885809000197
7893230000176
7954514000125
7954530000118
7954555000111
7954563000168
7954571000104
7954571000457
7954571000961
7954571001003
7954571001186
7954571001348
7954571001429
7954571001771
7954571002239
7954571002581
7954571003049
7954571003120
7954571003200
7954571003391
7954571003553
7954571003634
7954571003715
7954571003804
7954571003987
7954571011300
7954571011491
7954589000106
7954597000152
7954597003844
82347308000172
8675169000153
8691976000160
8696074000116
8701214000105
87069342000146
892918000192
9100913000154
9419789000194
9443581000100
9444530000101
9450206000198
9453523000168
9469891000102
9470303000142
9499757000146
9618390000132
99999999999999
