COD_CNPJ_A
00000802000606
00088350000151
00314430000188
00392727000161
00472805003072
00663282000107
01103427000188
01298675000121
02027991000121
02060568000123
02706807000170
02924249001603
03117650000100
03898610000142
05206443000157
05345914000108
05440785000307
05475850000321
06887668000189
07028947000150
07110362000184
07131568000190
07187560000146
07195771000120
07278350000163
07516997000186
07560261000539
07563034000133
07654205000130
07680051000150
07702013000151
07870417000154
08039023000111
08245856000139
08578564000118
08950915000170
09120140000178
09278791000190
09316586000172
10014574000172
10142007000100
10142089000184
10156952000152
10352056000169
10501346000127
11082740000130
11085172000121
11112195000188
11749704000188
11772308000171
12048510000118
12273124000120
12281572000175
12360517000170
12465316000138
13141737000176
13574594036891
13914844000190
14093428000130
14572209000134
14704245000104
14940956000188
15130127000100
15633573000120
17029387000101
17635364000140
18247063000889
18462678000151
18539195000108
18727448000177
18796072000152
19270298000188
20001162000151
20001603000115
20020710000190
20033457000100
20048032000174
20094324000143
20207994000129
20221423000220
20264700000109
21979175000162
22093890000166
22221967000136
22330768000166
22553497000108
22568532000162
22863493000126
23257692000153
23820411000129
23912026000101
24073694001631
24073694012161
24574383003519
24787416000160
25160314000182
25291776000139
25902784000174
26961621000125
27965371000750
28642298000233
28672087002882
28963477000191
28967376000199
29103366000178
29241293000180
29421445000127
30193917000110
30245525000158
30429646000150
30563957000107
31352683000170
31809715000113
32168488000157
32479136000112
32524122000173
32728630000173
33173209000106
33227595000414
33820243000125
33881557000138
34161725000183
34223033000112
34235488000158
34291688000128
34293836000143
34324949000169
34364490000127
34383132000838
34392925000147
34396612000167
34465261000107
34697120000101
35140491000150
35507203000153
35569253000165
36211946000144
36559498000174
36650917000189
36838707000119
37523200000139
37584947000105
37611996000181
37826360000157
37899519000163
38195379000105
38345397000126
39833251000192
39914683000128
39964000000147
40118092000123
40191075000111
40432544010290
40694827000167
40706724000170
41106083000185
41935221000139
42501852000102
42520751000189
42522621000185
42729450000160
42967197000182
43247364000183
43449083000103
43861094000104
44014580000141
44310952000187
44672916000163
44903887000101
45686498000126
45910005000190
46010744000198
46366450000101
47637338000112
48557195000100
48564059000139
49399877000196
49660329000178
49774059000126
49774162000176
50419610000100
50475653000103
50479920000102
50482534000170
50590951000136
51294652000117
51373043000153
51428956000120
51785416000101
52734457000123
52773701000167
52792076000109
52800776000190
53999981000199
54516661008005
54651870000150
55006970000196
55049762000174
55096834000134
55189722000128
55335994000199
55375565000145
55409453000168
55963176000130
57729889000160
57824713000197
58153488000177
58410303000162
58562933000152
58634989000175
58845241000111
58878480000178
59687915000160
60717235000120
60912591000103
61068276011564
61585865024093
61669872000131
61676439000123
61938812000177
61983085000160
62974857000160
62974947000150
62975015000122
62975224000176
62975501000140
63024788000196
63063676000144
63224678000178
63486336000126
63492284000109
63853767000183
63906955000122
64115981000103
64908853000109
68034154000138
70940994006908
72163082000104
73399354000124
