COD_CNPJ_BASE
0
1
1000008
1000043
1000046
100006
1000095
1000109
1000153
1000201
100027
1000294
1000358
1000447
1000460
1000526
1000537
1000542
1000550
1000558
1000565
1000586
100066
1000664
1000699
1000724
1000743
1000764
1000786
1000800
1000829
1000840
1000889
100103
1001096
1001157
1001200
1001235
1001250
1001268
1001275
1001290
1001297
1001323
1001422
1001467
1001506
1001513
1001520
1001607
1001615
1001647
1001654
1001663
1001733
1001746
1001751
1001891
1001898
1001903
1001909
100191
1001950
1002060
1002066
1002102
1002145
1002166
1002172
1002216
1002312
1002360
1002364
1002371
100242
1002494
100253
1002563
1002568
1002660
100267
1002694
1002721
1002727
1002791
1002810
1002863
100288
1002928
1002933
100296
1002976
1002994
1003008
1003027
1003106
1003112
1003180
1003239
100331
1003315
1003320
1003339
1003356
1003370
1003416
1003422
1003440
1003487
100349
1003521
1003543
1003669
1003678
1003758
1003786
1003856
1003911
1003939
1003959
1003972
1003992
1004014
1004028
1004034
1004054
1004066
1004072
1004077
1004153
100419
1004190
1004229
1004280
1004286
1004309
1004323
1004333
1004350
1004362
1004394
1004398
1004414
1004418
100448
1004504
100453
1004616
1004621
1004649
1004669
1004700
1004805
1004900
1004912
1004918
1004923
1004942
1004985
1004995
1005055
1005073
1005077
1005101
1005200
100521
1005225
1005253
100528
1005310
1005343
1005388
100543
1005471
1005479
1005491
1005527
1005641
100569
1005702
1005721
1005740
1005746
1005785
1005807
1005811
1005820
1005867
1006026
1006034
1006044
1006061
1006068
1006111
1006128
1006133
1006138
1006158
1006173
1006244
1006251
1006257
1006277
1006305
1006318
1006366
1006397
1006439
1006445
1006464
1006479
1006486
1006503
1006525
1006533
100655
1006553
1006559
1006577
1006585
1006606
1006619
1006625
1006677
1006713
1006741
1006767
1006796
1006830
1006858
1006864
100688
1006909
1006947
1006979
1007009
1007136
1007142
1007206
100727
1007295
100731
1007314
1007324
1007383
1007409
1007495
1007510
1007536
1007544
1007621
100772
1007736
1007789
1007800
1007819
1007825
1007874
1007887
1007903
1007924
100794
1007950
1007988
1008016
1008020
1008115
1008122
1008142
1008160
1008180
1008212
1008227
1008251
1008285
1008301
1008308
1008314
1008320
1008327
1008371
1008375
1008398
1008430
1008441
1008447
1008460
1008494
100851
1008510
1008599
1008617
1008624
1008652
1008659
1008743
1008800
1008811
1008925
1008931
100899
1009019
1009062
1009066
1009106
1009111
1009136
1009151
1009213
100922
1009266
1009283
1009357
1009363
1009382
1009385
1009390
1009421
100943
100959
1009681
1009715
1009726
1009756
100977
1009787
1009792
100981
1009824
1009853
1009999
1010036
1010088
1010110
1010117
101012
1010154
1010220
1010295
101033
1010350
1010375
1010427
1010469
1010502
101053
1010577
1010583
1010607
1010615
1010626
101066
101074
1010745
1010816
1010844
1010871
1010882
1010890
1010942
1010986
1010991
1011015
1011091
1011179
1011185
101124
