OWNER;TABLE_NAME;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COMMENTS;CONSTRAINTS
SUANOTA;APP_BLACK_LIST_DEVICE;;N;1;NU_UUID_BLOQUEADO;VARCHAR2;36;N;;;;;NO;N�mero do UUID do device bloqueado;SYS_C002228225 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE;;N;2;TX_MOTIVO_BLOQUEIO;VARCHAR2;500;N;;;;;NO;Texto do motivo do bloqueio do device;SYS_C002228226 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE;;N;3;ST_BLOQUEIO;VARCHAR2;2;N;;;;;NO;"Status do bloqueio do device
AT - Bloqueio Ativo
IN - Bloqueio Inativo";SYS_C002228227 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE;;N;4;ID_SISTEMA;NUMBER;22;N;0;;;;NO;FK relacionada a APP_SISTEMA.ID_SISTEMA;APPBLLD_APPSIST_FK (FOREIGN KEY: ENABLED)- SYS_C002228228 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE;;N;5;CD_USUARIO_BLOQUEIO;VARCHAR2;150;N;;;;;NO;Usu�rio SET que bloqueou o device;SYS_C002228229 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE;;N;6;TM_BLOQUEIO;DATE;7;N;;;;;NO;Data/Hora do bloqueio do device pelo usu�rio SET;SYS_C002228230 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE;;N;7;CD_USUARIO_DESBLOQUEIO;VARCHAR2;150;Y;;;;;NO;Usu�rio SET que desbloqueou o device; (: )
SUANOTA;APP_BLACK_LIST_DEVICE;;N;8;TM_DESBLOQUEIO;DATE;7;Y;;;;;NO;Data/Hora do desbloqueio do device pelo usu�rio SET; (: )
SUANOTA;APP_BLACK_LIST_DEVICE_HIST;;N;1;NU_UUID_BLOQUEADO;VARCHAR2;36;N;;;;;NO;N�mero do UUID do device bloqueado;SYS_C002227119 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE_HIST;;N;2;TX_MOTIVO_BLOQUEIO;VARCHAR2;500;N;;;;;NO;Texto do motivo do bloqueio do device;SYS_C002227120 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE_HIST;;N;3;ST_BLOQUEIO;VARCHAR2;2;N;;;;;NO;Status do bloqueio do device AT - Bloqueio Ativo, IN - Bloqueio Inativo;SYS_C002227121 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE_HIST;;N;4;ID_SISTEMA;NUMBER;22;N;0;;;;NO;FK relacionada a APP_SISTEMA.ID_SISTEMA;APPBLLD_APPSISTHIST_FK (FOREIGN KEY: ENABLED)- SYS_C002227122 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE_HIST;;N;5;CD_USUARIO_BLOQUEIO;VARCHAR2;150;N;;;;;NO;Usu�rio SET que bloqueou o device;SYS_C002227123 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE_HIST;;N;6;TM_BLOQUEIO;DATE;7;N;;;;;NO;Data/Hora do bloqueio do device pelo usu�rio SET;SYS_C002227124 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE_HIST;;N;7;CD_USUARIO_DESBLOQUEIO;VARCHAR2;150;Y;;;;;NO;Usu�rio SET que desbloqueou o device; (: )
SUANOTA;APP_BLACK_LIST_DEVICE_HIST;;N;8;TM_DESBLOQUEIO;DATE;7;Y;;;;;NO;Data/Hora do desbloqueio do device pelo usu�rio SET; (: )
SUANOTA;APP_BLACK_LIST_DEVICE_HIST;;N;9;ID_HISTORICO;NUMBER;22;N;0;;;;NO;Sequencial da tabela;SYS_C002227125 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE_HIST;;N;10;TM_HISTORICO;DATE;7;Y;;;;;NO;Data/Hora da inclus�o do hist�rico; (: )
SUANOTA;APP_BLACK_LIST_USUARIO;6380;N;1;CD_USUARIO_BLOQUEADO;VARCHAR2;36;N;;12;6288;0;NO;C�digo do usu�rio bloqueado;SYS_C002227878 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_USUARIO;6380;N;2;NM_USUARIO_BLOQUEADO;VARCHAR2;200;N;;28;6282;0;NO;Nome do usu�rio bloqueado;SYS_C002227879 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_USUARIO;6380;N;3;TX_MOTIVO_BLOQUEIO;VARCHAR2;500;N;;50;7;0;NO;Texto do motivo do bloqueio do usu�rio;SYS_C002227880 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_USUARIO;6380;N;4;ST_BLOQUEIO;VARCHAR2;2;N;;3;2;0;NO;"Status do bloqueio do usu�rio
AT - Bloqueio Ativo
IN - Bloqueio Inativo";SYS_C002227881 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_USUARIO;6380;N;5;ID_SISTEMA;NUMBER;22;N;0;3;1;0;NO;FK relacionada a APP_SISTEMA.ID_SISTEMA;APPBLLU_APPSIST_FK (FOREIGN KEY: ENABLED)- SYS_C002227882 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_USUARIO;6380;N;6;CD_USUARIO_BLOQUEIO;VARCHAR2;150;N;;13;1;0;NO;Usu�rio SET que bloqueou o usu�rio;SYS_C002227883 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_USUARIO;6380;N;7;TM_BLOQUEIO;DATE;7;N;;8;3054;0;NO;Data/Hora do bloqueio do usu�rio pelo usu�rio SET;SYS_C002227884 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_USUARIO;6380;N;8;CD_USUARIO_DESBLOQUEIO;VARCHAR2;150;Y;;9;14;2428;NO;Usu�rio SET que desbloqueou o usu�rio; (: )
SUANOTA;APP_BLACK_LIST_USUARIO;6380;N;9;TM_DESBLOQUEIO;DATE;7;Y;;6;683;2428;NO;Data/Hora do desbloqueio do usu�rio pelo usu�rio SET; (: )
SUANOTA;APP_BLACK_LIST_USUARIO;6380;N;10;TP_BLOQUEIO;VARCHAR2;2;Y;;3;2;0;NO;"Tipo do bloqueio do usu�rio
SO - Bloqueio para participar do sorteio
AS - Bloqueio para participar do sorteio e acessar o APP"; (: )
SUANOTA;APP_BLACK_LIST_USUARIO;6380;N;11;CD_USUARIO_INCLUSAO;VARCHAR2;250;Y;;0;0;6380;NO;C�digo do usu�rio que incluiu o registro na tabela; (: )
SUANOTA;APP_BLACK_LIST_USUARIO;6380;N;12;TM_INCLUSAO;DATE;7;Y;;1;0;6380;NO;Data/Hora de inclus�o do registro na tabela; (: )
SUANOTA;APP_BLACK_LIST_USUARIO;6380;N;13;CD_USUARIO_ALTERACAO;VARCHAR2;250;Y;;3;14;5646;NO;C�digo do usu�rio que alterou o registro na tabela; (: )
SUANOTA;APP_BLACK_LIST_USUARIO;6380;N;14;TM_ALTERACAO;DATE;7;Y;;2;682;5646;NO;Data/Hora de altera��o do registro na tabela; (: )
SUANOTA;APP_BLACK_LIST_USUARIO;6380;N;15;TX_MOTIVO_DESBLOQUEIO;VARCHAR2;500;Y;;18;647;2426;NO;Texto do motivo do desbloqueio do usu�rio; (: )
SUANOTA;APP_BLACK_LIST_USUARIO;6380;N;16;CNPJ;VARCHAR2;14;Y;;8;1330;3320;NO;CNPJ que est� na nota que colocou o usu�rio em bloqueio por regra de seguran�a; (: )
SUANOTA;APP_BLACK_LIST_USUARIO;6380;N;17;TM_NOTIFICACAO;DATE;7;Y;;4;747;4372;NO;Data/Hora da notifica��o do bloqueio ao usuario; (: )
SUANOTA;APP_BLACK_LIST_USUARIO_HIST;6007;N;1;CD_USUARIO_BLOQUEADO;VARCHAR2;36;N;;12;5447;0;NO;C�digo do usu�rio bloqueado;SYS_C002226838 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_USUARIO_HIST;6007;N;2;NM_USUARIO_BLOQUEADO;VARCHAR2;200;N;;28;5441;0;NO;Nome do usu�rio bloqueado;SYS_C002226839 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_USUARIO_HIST;6007;N;3;TX_MOTIVO_BLOQUEIO;VARCHAR2;500;N;;47;6;0;NO;Texto do motivo do bloqueio do usu�rio;SYS_C002226840 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_USUARIO_HIST;6007;N;4;ST_BLOQUEIO;VARCHAR2;2;N;;3;2;0;NO;Status do bloqueio do usu�rio AT - Bloqueio Ativo IN - Bloqueio Inativo;SYS_C002226841 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_USUARIO_HIST;6007;N;5;ID_SISTEMA;NUMBER;22;N;0;3;1;0;NO;FK relacionada a APP_SISTEMA.ID_SISTEMA;APPBLLU_APPSISTHIST_FK (FOREIGN KEY: ENABLED)- SYS_C002226842 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_USUARIO_HIST;6007;N;6;CD_USUARIO_BLOQUEIO;VARCHAR2;150;N;;13;1;0;NO;Usu�rio SET que bloqueou o usu�rio;SYS_C002226843 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_USUARIO_HIST;6007;N;7;TM_BLOQUEIO;DATE;7;N;;8;2205;0;NO;Data/Hora do bloqueio do usu�rio pelo usu�rio SET;SYS_C002226844 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_USUARIO_HIST;6007;N;8;CD_USUARIO_DESBLOQUEIO;VARCHAR2;150;Y;;2;9;5933;NO;Usu�rio SET que desbloqueou o usu�rio; (: )
SUANOTA;APP_BLACK_LIST_USUARIO_HIST;6007;N;9;TM_DESBLOQUEIO;DATE;7;Y;;2;45;5933;NO;Data/Hora do desbloqueio do usu�rio pelo usu�rio SET; (: )
SUANOTA;APP_BLACK_LIST_USUARIO_HIST;6007;N;10;TP_BLOQUEIO;VARCHAR2;2;Y;;3;2;0;NO;RE - Usu�rio solicitou para n�o participar do sorteio, RS - Usu�rio impedido por regra de seguran�a, IM - Inserido manualmente atrav�s da Extranet2; (: )
SUANOTA;APP_BLACK_LIST_USUARIO_HIST;6007;N;11;ID_HISTORICO;NUMBER;22;N;0;5;6007;0;NO;Sequencial da tabela;SYS_C002226845 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_USUARIO_HIST;6007;N;12;TM_HISTORICO;DATE;7;Y;;8;1442;0;NO;Data/Hora da inclus�o do hist�rico; (: )
SUANOTA;APP_BLACK_LIST_USUARIO_HIST;6007;N;13;TX_MOTIVO_DESBLOQUEIO;VARCHAR2;500;Y;;2;42;5933;NO;Texto do motivo do desbloqueio do usu�rio; (: )
SUANOTA;APP_BLACK_LIST_USUARIO_HIST;6007;N;14;CNPJ;VARCHAR2;14;Y;;8;835;3339;NO;CNPJ que est� na nota que colocou o usu�rio em bloqueio por regra de seguran�a; (: )
SUANOTA;APP_BLACK_LIST_USUARIO_HIST;6007;N;15;TM_NOTIFICACAO;DATE;7;Y;;2;277;5558;NO;Data/Hora da notifica��o do bloqueio ao usuario; (: )
SUANOTA;APP_CHAMADA_TEL_FILA;0;N;1;ID_APP_CHAMADA_TEL_FILA;NUMBER;22;N;;0;0;0;NO;Sequencial da tabela;PK_ID_APP_CHAMADA_TEL_FILA (PRIMARY KEY: ENABLED)- SYS_C002228408 (C: ENABLED)
SUANOTA;APP_CHAMADA_TEL_FILA;0;N;2;NU_DDD_CELULAR;VARCHAR2;4;N;;0;0;0;NO;N�mero do DDD do celular do usu�rio;SYS_C002228409 (C: ENABLED)
SUANOTA;APP_CHAMADA_TEL_FILA;0;N;3;NU_CELULAR;VARCHAR2;9;N;;0;0;0;NO;N�mero do celular do usu�rio;SYS_C002228410 (C: ENABLED)
SUANOTA;APP_CHAMADA_TEL_FILA;0;N;4;ID_APP_CHAMADA_TEL_FILA_FAIXA_ITENS;NUMBER;22;Y;;0;0;0;NO;FK da Tabela APP_CHAMADA_TEL_FILA_FAIXA;APPCHAMA_APPCHFIT_FK (FOREIGN KEY: ENABLED)
SUANOTA;APP_CHAMADA_TEL_FILA;0;N;5;CD_USUARIO_INCLUSAO;VARCHAR2;250;Y;;0;0;0;NO;C�digo do usu�rio que incluiu o registro na tabela; (: )
SUANOTA;APP_CHAMADA_TEL_FILA;0;N;6;TM_INCLUSAO;DATE;7;Y;;0;0;0;NO;Data/Hora de inclus�o do registro na tabela; (: )
SUANOTA;APP_CHAMADA_TEL_FILA;0;N;7;CD_USUARIO_ALTERACAO;VARCHAR2;250;Y;;0;0;0;NO;C�digo do usu�rio que alterou o registro na tabela; (: )
SUANOTA;APP_CHAMADA_TEL_FILA;0;N;8;TM_ALTERACAO;DATE;7;Y;;0;0;0;NO;Data/Hora de altera��o do registro na tabela; (: )
SUANOTA;APP_CHAMADA_TEL_FILA;0;N;9;TM_SOLICITACAO_LIGACAO;DATE;7;Y;;0;0;0;NO;Data/Hora da solicita��o da Liga��o; (: )
SUANOTA;APP_CHAMADA_TEL_FILA_FAIXA;0;N;1;ID_APP_CHAMADA_TEL_FILA_FAIXA;NUMBER;22;N;;0;0;0;NO;Sequencial da Tabela;PK_ID_APP_CHAMADA_TEL_FILA_FAIXA (PRIMARY KEY: ENABLED)- SYS_C002226846 (C: ENABLED)
SUANOTA;APP_CHAMADA_TEL_FILA_FAIXA;0;N;2;TX_APP_CHAMADA_TEL_FILA_FAIXA;VARCHAR2;250;Y;;0;0;0;NO;Descri��o da faixa da fila de chamadas; (: )
SUANOTA;APP_CHAMADA_TEL_FILA_FAIXA;0;N;3;ST_APP_CHAMADA_TEL_FILA_FAIXA;VARCHAR2;2;Y;;0;0;0;NO;Situa��o da faixa da fila de chamados 'AT' Ativo, 'IN' Inativo; (: )
SUANOTA;APP_CHAMADA_TEL_FILA_FAIXA;0;N;4;CD_USUARIO_INCLUSAO;VARCHAR2;250;Y;;0;0;0;NO;C�digo do usu�rio que incluiu o registro na tabela; (: )
SUANOTA;APP_CHAMADA_TEL_FILA_FAIXA;0;N;5;TM_INCLUSAO;DATE;7;Y;;0;0;0;NO;Data/Hora de inclus�o do registro na tabela; (: )
